station,lat,lon,depth,temperature,salinity,fluorescence
36,-23.77030537,-44.98444444,5,24.515,35.641,0.120264286
37,-23.55361111,-44.26666667,5,26.9261,35.3566,0.120264286
38,-23.89722222,-44.08805556,5,25.7238,35.73,0.120264286
39,-23.97472222,-43.90861111,5,25.7918,36.1544,0.120264286
40,-23.97694444,-43.73638889,5,25.966,36.2597,0.120264286
41,-24.20027778,-43.55722222,5,25.8291,36.3557,0.120264286
42,-24.49138889,-43.37222222,5,27.5785,37.1287,0.120264286
43,-24.52972222,-43.20416667,5,27.8552,37.1215,0.120264286
44,-24.55416667,-42.48888889,5,26.3681,36.6093,0.120264286
45,-24.44388889,-42.62138889,5,26.1421,36.0496,0.120264286
46,-24.32055556,-42.78055556,5,25.9406,36.1946,0.120264286
47,-24.12361111,-42.93722222,5,25.4467,36.1332,0.120264286
48,-23.95416667,-43.08833333,5,26.3101,36.5775,0.120264286
49,-23.71694444,-43.2375,5,25.8165,36.1539,0.120264286
50,-23.51972222,-43.38472222,5,25.9343,36.0713,0.120264286
51,-23.52,-43.53916667,5,26.3705,35.542,0.120264286
52,-23.34555556,-42.66888889,5,23.0818,35.9486,0.120264286
53,-23.46555556,-42.50638889,5,24.2021,35.9846,0.120264286
54,-23.72194444,-42.34472222,5,25.0419,36.0008,0.120264286
55,-23.96055556,-42.17638889,5,25.3256,35.9791,0.120264286
56,-24.19388889,-42.01166667,5,25.0546,36.002,0.120264286
57,-24.37305556,-41.82472222,5,26.615,36.8806,0.120264286
58,-23.93861111,-41.41055556,5,27.251,36.985,0.120264286
59,-24.03083333,-41.56583333,5,26.6267,36.9062,0.120264286
60,-23.82055556,-41.72333333,5,25.9345,35.8645,0.120264286
61,-23.63416667,-41.85777778,5,25.4115,35.8629,0.120264286
62,-23.31777778,-42.02111111,5,25.745,35.6975,0.120264286
63,-23.19777778,-41.8325,5,23.7869,35.6731,0.120264286
64,-23.37472222,-41.66888889,5,24.9254,35.8622,0.120264286
65,-23.70055556,-41.51,5,25.7269,35.9773,0.120264286
66,-23.83138889,-41.36111111,5,27.4806,37.1341,0.120264286
67,-23.77777778,-41.20638889,5,27.3262,37.0784,0.120264286
68,-23.63777778,-40.99666667,5,27.3863,37.0847,0.120264286
69,-23.65277778,-41.15305556,5,27.4973,37.1635,0.120264286
70,-23.43388889,-41.31666667,5,26.451,36.8838,0.120264286
71,-23.21888889,-41.47138889,5,24.8857,35.7241,0.120264286
72,-23.06055556,-41.62166667,5,25.7246,35.5975,0.120264286
73,-22.66444444,-41.4675,5,24.025,35.7182,0.120264286
74,-22.8925,-41.30666667,5,25.3982,34.8448,0.120264286
75,-22.96277778,-41.15611111,5,26.9262,37.0423,0.120264286
76,-23.14583333,-40.98333333,5,27.4188,37.147,0.120264286
77,-23.41444444,-40.83861111,5,27.3944,37.1136,0.120264286
77,-23.41444444,-40.83583333,5,27.4216,37.1152,0.120264286
78,-22.87027778,-40.40888889,5,26.1757,36.429,0.120264286
79,-22.71,-40.59583333,5,25.2735,36.6024,0.120264286
80,-22.6,-40.77805556,5,25.4056,36.4224,0.120264286
81,-22.45611111,-40.96027778,5,22.6181,36.0857,0.120264286
82,-21.85833333,-40.67805556,5,23.5825,36.088,0.120264286
83,-21.99166667,-40.45333333,5,24.6043,36.4599,0.120264286
84,-21.98083333,-40.24638889,5,26.1993,36.428,0.120264286
85,-22.10083333,-40.02694444,5,27.5758,36.4612,0.120264286
86,-22.24805556,-39.80833333,5,27.8091,37.2716,0.120264286
1,-25.07361111,-46.81861111,6,27.143,35.6215,0.0476
3,-25.42555556,-46.4675,6,26.7702,35.9409,0.178
4,-25.36388889,-46.30472222,6,26.3926,35.9475,0.222
5,-25.49083333,-46.12222222,6,26.412,36.2169,0.146
6,-25.855,-45.95861111,6,25.8185,35.9031,0.129
7,-25.92777778,-45.77944444,6,25.9635,36.9134,0.1
8,-26.01666667,-45.60166667,6,26.7318,37.1108,0.0875
9,-26.09527778,-45.41916667,6,27.0798,37.148,0.0882
10,-26.30444444,-45.25777778,6,26.8183,37.1466,0.0885
11,-25.86472222,-44.6725,6,26.1793,37.0453,0.0973
12,-25.68944444,-44.84972222,6,25.5083,36.6861,0.0875
13,-25.555,-45.05694444,6,25.3861,36.6085,0.0963
14,-25.25944444,-45.21972222,6,25.7647,35.8537,0.123
15,-25.29861111,-45.42888889,6,25.566,35.8652,0.147
18,-24.81944444,-46.14361111,6,26.0136,34.921,0.116992857
21,-24.35194444,-45.45111111,6,23.8003,35.5183,0.116992857
22,-24.65805556,-45.27,6,25.658,35.4327,0.116992857
23,-24.64416667,-45.1,6,24.7664,36.1534,0.116992857
24,-24.80555556,-44.925,6,25.4728,36.1516,0.116992857
25,-25.08666667,-44.74277778,6,26.7739,36.9689,0.116992857
27,-25.37861111,-44.3875,6,26.5934,36.7993,0.116992857
28,-25.49722222,-44.21722222,6,26.7643,36.7655,0.116992857
29,-24.96888889,-43.73722222,6,26.4453,36.8386,0.116992857
30,-24.92888889,-43.92583333,6,26.7528,36.8499,0.116992857
31,-24.68138889,-44.10194444,6,26.6969,36.6798,0.116992857
32,-24.42611111,-44.27444444,6,25.4529,36.417,0.116992857
33,-24.43055556,-44.465,6,23.8463,35.9163,0.116992857
34,-24.10916667,-44.64277778,6,24.9185,35.7143,0.116992857
35,-23.9274788,-44.81777778,6,25.8485,35.626,0.116992857
36,-23.77030537,-44.98444444,6,23.3832,35.8435,0.116992857
37,-23.55361111,-44.26666667,6,26.9371,35.3769,0.116992857
38,-23.89722222,-44.08805556,6,25.7227,35.7324,0.116992857
39,-23.97472222,-43.90861111,6,25.7897,36.1548,0.116992857
40,-23.97694444,-43.73638889,6,25.9634,36.2582,0.116992857
41,-24.20027778,-43.55722222,6,25.8329,36.3465,0.116992857
42,-24.49138889,-43.37222222,6,27.5632,37.1277,0.116992857
43,-24.52972222,-43.20416667,6,27.8516,37.1266,0.116992857
44,-24.55416667,-42.48888889,6,26.4018,36.6237,0.116992857
45,-24.44388889,-42.62138889,6,26.1417,36.0499,0.116992857
46,-24.32055556,-42.78055556,6,25.9408,36.1936,0.116992857
47,-24.12361111,-42.93722222,6,25.1171,36.2883,0.116992857
48,-23.95416667,-43.08833333,6,26.2688,36.5863,0.116992857
49,-23.71694444,-43.2375,6,25.8179,36.1539,0.116992857
50,-23.51972222,-43.38472222,6,25.9271,36.0859,0.116992857
51,-23.52,-43.53916667,6,26.2945,35.6006,0.116992857
52,-23.34555556,-42.66888889,6,21.5562,36.3223,0.116992857
53,-23.46555556,-42.50638889,6,24.2073,35.9846,0.116992857
54,-23.72194444,-42.34472222,6,25.0415,36.0008,0.116992857
55,-23.96055556,-42.17638889,6,25.3146,35.987,0.116992857
56,-24.19388889,-42.01166667,6,25.0346,36.0196,0.116992857
57,-24.37305556,-41.82472222,6,26.6161,36.8801,0.116992857
